id;Группа тем;Тема
198;Общественный транспорт;Проблемы с социальными картами или проездными документами
199;Здравоохранение/Медицина;Ошибки врачей, халатность
200;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
201;Социальное обслуживание и защита;Дети и многодетные семьи
202;Здравоохранение/Медицина;Диспансеризация
203;Общественный транспорт;Изменить или отменить маршрут
204;Благоустройство;Содержание, ремонт и обустройство тротуаров
205;Дороги;Содержание, ремонт и обустройство тротуаров
206;Социальное обслуживание и защита;Оказание гос. соц. помощи
207;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
208;Дороги;Ремонт дороги
209;Социальное обслуживание и защита;Оказание гос. соц. помощи
210;Благоустройство;Борщевик Сосновского
211;Благоустройство;Благоустройство придомовых территорий
212;Социальное обслуживание и защита;Дети и многодетные семьи
213;Благоустройство;Отсутствие детских площадок
214;Образование;Детские оздоровительные лагеря
215;Социальное обслуживание и защита;Дети и многодетные семьи
216;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
217;Мусор/Свалки/ТКО;Плата за вывоз ТКО
218;Коронавирус;Доступность вакцин
219;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
220;Социальное обслуживание и защита;Оказание гос. соц. помощи
221;Социальное обслуживание и защита;Дети и многодетные семьи
222;Здравоохранение/Медицина;Содержание больниц
223;ЖКХ;Содержание, ремонт и обустройство тротуаров
224;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
225;Безопасность;Строительство спортивной инфраструктуры
226;Социальное обслуживание и защита;Дети и многодетные семьи
227;Социальное обслуживание и защита;Оказание гос. соц. помощи
228;ЖКХ;Ненадлежащее качество или отсутствие отопления
229;Благоустройство;Уборка территорий
230;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
231;Социальное обслуживание и защита;Дети и многодетные семьи
232;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
233;Социальное обслуживание и защита;Дети и многодетные семьи
234;Здравоохранение/Медицина;Льготные лекарства
235;ЖКХ;Отсутствие холодной воды
236;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
237;Мусор/Свалки/ТКО;Плата за вывоз ТКО
238;Социальное обслуживание и защита;Оказание гос. соц. помощи
239;ЖКХ;Отсутствие холодной воды
240;Социальное обслуживание и защита;Оказание гос. соц. помощи
241;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
242;Общественный транспорт;График движения общественного транспорта
243;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
244;Благоустройство;★ Открытые канализационные люки
245;Здравоохранение/Медицина;Льготные лекарства
246;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
247;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
248;Социальное обслуживание и защита;Дети и многодетные семьи
249;Образование;Образовательный процесс
250;Благоустройство;★ Открытые канализационные люки
251;Образование;Образовательный процесс
252;Здравоохранение/Медицина;Содержание больниц
253;ЖКХ;Ненадлежащее качество или отсутствие отопления
254;Социальное обслуживание и защита;Аварийное жилье/переселение
255;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
256;Благоустройство;Уборка территорий
257;Связь и телевидение;Содержание гос. образовательных организаций
258;ЖКХ;Ненадлежащее содержание и эксплуатация МКД
259;Здравоохранение/Медицина;Вакцинация
260;ЖКХ;Жалобы на управляющие компании
261;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
262;Образование;Детские оздоровительные лагеря
263;ЖКХ;Отсутствие холодной воды
264;Социальное обслуживание и защита;Дети и многодетные семьи
265;Социальное обслуживание и защита;Дети и многодетные семьи
266;Социальное обслуживание и защита;Оказание гос. соц. помощи
267;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
268;Социальное обслуживание и защита;Дети и многодетные семьи
269;Здравоохранение/Медицина;Очередь
270;Социальное обслуживание и защита;Дети и многодетные семьи
271;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
272;Благоустройство;Безопасность общественных пространств
273;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
274;Дороги;Ремонт дороги
275;Социальное обслуживание и защита;Дети и многодетные семьи
276;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
277;ЖКХ;Плохое качество воды
278;ЖКХ;Плата за ЖКУ и работа ЕИРЦ
279;Дороги;Ремонт дороги
280;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
281;Социальное обслуживание и защита;Оказание гос. соц. помощи
282;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
283;Социальное обслуживание и защита;Оказание гос. соц. помощи
284;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
285;Благоустройство;Необходима установка и замена дорожных ограждений
286;Социальное обслуживание и защита;Оказание гос. соц. помощи
287;Здравоохранение/Медицина;Льготные лекарства
288;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
289;Социальное обслуживание и защита;Оказание гос. соц. помощи
290;Безопасность;Отлов безнадзорных собак и кошек
291;Благоустройство;Отсутствие детских площадок
292;Мусор/Свалки/ТКО;Плата за вывоз ТКО
293;Социальное обслуживание и защита;Оказание гос. соц. помощи
294;Благоустройство;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
295;Здравоохранение/Медицина;★ Информационно-техническая поддержка
296;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
297;Общественный транспорт;График движения общественного транспорта
298;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
299;Общественный транспорт;График движения общественного транспорта
300;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
301;Социальное обслуживание и защита;Оказание гос. соц. помощи
302;Социальное обслуживание и защита;Оказание гос. соц. помощи
303;Здравоохранение/Медицина;★ Информационно-техническая поддержка
304;Социальное обслуживание и защита;Дети и многодетные семьи
305;Социальное обслуживание и защита;Оказание гос. соц. помощи
306;Дороги;Ремонт/строительство мостов
307;Дороги;Ремонт дороги
308;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
309;Дороги;Ремонт/строительство мостов
310;Социальное обслуживание и защита;Оказание гос. соц. помощи
311;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
312;Социальное обслуживание и защита;Дети и многодетные семьи
313;Образование;Образовательный процесс
314;Безопасность;Спортивные мероприятия
315;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
316;Социальное обслуживание и защита;Дети и многодетные семьи
317;Связь и телевидение;★ Информационно-техническая поддержка
318;Социальное обслуживание и защита;Дети и многодетные семьи
319;Социальное обслуживание и защита;Дети и многодетные семьи
320;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
321;Коронавирус;Жалобы на врачей
322;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
323;Социальное обслуживание и защита;Оказание гос. соц. помощи
324;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
325;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
326;Мусор/Свалки/ТКО;Плата за вывоз ТКО
327;ЖКХ;Жалобы на управляющие компании
328;Социальное обслуживание и защита;Оказание гос. соц. помощи
329;ЖКХ;Отсутствие горячей воды
330;Коронавирус;Коронавирус
331;ЖКХ;Отсутствие горячей воды
332;Дороги;Ремонт дороги
333;Дороги;Освещение неисправно или отсутствует
334;Дороги;Ремонт дороги
335;Образование;★ Информационно-техническая поддержка
336;ЖКХ;Аварийное жилье/переселение
337;Мусор/Свалки/ТКО;★ Стихийные свалки в городе/в парках/в лесу
338;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
339;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
340;Безопасность;Безопасность общественных пространств
341;Социальное обслуживание и защита;Оказание гос. соц. помощи
342;Социальное обслуживание и защита;Оказание гос. соц. помощи
343;ЖКХ;Ненадлежащее качество или отсутствие отопления
344;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
345;Социальное обслуживание и защита;Стоимость, оплата и возврат средств на газификацию
346;Здравоохранение/Медицина;Содержание больниц
347;Благоустройство;Содержание, ремонт и обустройство тротуаров
348;Дороги;Ремонт дороги
349;ЖКХ;Жалобы на управляющие компании
350;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
351;Дороги;Содержание, ремонт и обустройство тротуаров
352;Коронавирус;Сертификаты и QR-коды
353;Мусор/Свалки/ТКО;Плата за вывоз ТКО
354;Общественный транспорт;Проблемы с социальными картами или проездными документами
355;Дороги;Ремонт дороги
356;Социальное обслуживание и защита;Пенсионеры и ветераны
357;Дороги;Ремонт дороги
358;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
359;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
360;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
361;Общественный транспорт;График движения общественного транспорта
362;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
363;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
364;ЖКХ;Жалобы на управляющие компании
365;Благоустройство;Уборка территорий
366;Дороги;Ремонт дороги
367;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
368;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
369;Здравоохранение/Медицина;Отсутствие лекарств в аптеках
370;ЖКХ;Отсутствие горячей воды
371;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
372;Здравоохранение/Медицина;Вакцинация
373;Образование;Образовательный процесс
374;Благоустройство;★ Ненадлежащее состояние игровых элементов на детской или спортивной площадке
375;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
376;ЖКХ;Отсутствие холодной воды
377;Здравоохранение/Медицина;Льготные лекарства
378;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
379;Социальное обслуживание и защита;Дети и многодетные семьи
380;Здравоохранение/Медицина;Профильный осмотр
381;Общественный транспорт;Проблемы с социальными картами или проездными документами
382;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
383;ЖКХ;Ненадлежащее качество или отсутствие отопления
